"YEAR","AREA","/ITEMS","I530102_Number of general hospitals by department (Respiratory)[number of hospitals]","Annotation"
"1999","Saga-ken","","33",""
"1999","Nagasaki-ken","","52",""
"1999","Kumamoto-ken","","76",""
"1999","Oita-ken","","55",""
"1999","Miyazaki-ken","","35",""
"1999","Kagoshima-ken","","62",""
"1999","Okinawa-ken","","34",""
"1998","All Japan","","2,396",""
"1998","Hokkaido","","133",""
"1998","Aomori-ken","","29",""
"1998","Iwate-ken","","25",""
"1998","Miyagi-ken","","39",""
"1998","Akita-ken","","22",""
"1998","Yamagata-ken","","9",""
"1998","Fukushima-ken","","49",""
"1998","Ibaraki-ken","","60",""
"1998","Tochigi-ken","","31",""
"1998","Gumma-ken","","29",""
"1998","Saitama-ken","","93",""
"1998","Chiba-ken","","83",""
"1998","Tokyo-to","","171",""
"1998","Kanagawa-ken","","97",""
"1998","Niigata-ken","","19",""
"1998","Toyama-ken","","19",""
"1998","Ishikawa-ken","","38",""
"1998","Fukui-ken","","40",""
"1998","Yamanashi-ken","","15",""
"1998","Nagano-ken","","38",""
"1998","Gifu-ken","","36",""
"1998","Shizuoka-ken","","35",""
"1998","Aichi-ken","","97",""
"1998","Mie-ken","","20",""
"1998","Shiga-ken","","18",""
"1998","Kyoto-fu","","66",""
"1998","Osaka-fu","","118",""
"1998","Hyogo-ken","","78",""
"1998","Nara-ken","","16",""
"1998","Wakayama-ken","","32",""
"1998","Tottori-ken","","10",""
"1998","Shimane-ken","","8",""
"1998","Okayama-ken","","47",""
"1998","Hiroshima-ken","","50",""
"1998","Yamaguchi-ken","","51",""
"1998","Tokushima-ken","","41",""
"1998","Kagawa-ken","","29",""
"1998","Ehime-ken","","35",""
"1998","Kochi-ken","","57",""
"1998","Fukuoka-ken","","158",""
"1998","Saga-ken","","34",""
"1998","Nagasaki-ken","","52",""
"1998","Kumamoto-ken","","75",""
"1998","Oita-ken","","58",""
"1998","Miyazaki-ken","","37",""
"1998","Kagoshima-ken","","65",""
"1998","Okinawa-ken","","34",""
"1997","All Japan","","2,415",""
"1997","Hokkaido","","135",""
"1997","Aomori-ken","","29",""
"1997","Iwate-ken","","24",""
"1997","Miyagi-ken","","37",""
"1997","Akita-ken","","22",""
"1997","Yamagata-ken","","9",""
"1997","Fukushima-ken","","48",""
"1997","Ibaraki-ken","","56",""
"1997","Tochigi-ken","","32",""
"1997","Gumma-ken","","30",""
"1997","Saitama-ken","","93",""
"1997","Chiba-ken","","89",""
"1997","Tokyo-to","","174",""
"1997","Kanagawa-ken","","100",""
"1997","Niigata-ken","","18",""
"1997","Toyama-ken","","22",""
"1997","Ishikawa-ken","","38",""
"1997","Fukui-ken","","40",""
"1997","Yamanashi-ken","","14",""
"1997","Nagano-ken","","37",""
"1997","Gifu-ken","","34",""
"1997","Shizuoka-ken","","37",""
"1997","Aichi-ken","","95",""
"1997","Mie-ken","","21",""
"1997","Shiga-ken","","18",""
"1997","Kyoto-fu","","67",""
"1997","Osaka-fu","","119",""
"1997","Hyogo-ken","","79",""
"1997","Nara-ken","","18",""
"1997","Wakayama-ken","","32",""
"1997","Tottori-ken","","9",""
"1997","Shimane-ken","","8",""
"1997","Okayama-ken","","47",""
"1997","Hiroshima-ken","","52",""
"1997","Yamaguchi-ken","","54",""
"1997","Tokushima-ken","","44",""
"1997","Kagawa-ken","","35",""
"1997","Ehime-ken","","34",""
"1997","Kochi-ken","","55",""
"1997","Fukuoka-ken","","152",""
"1997","Saga-ken","","33",""
"1997","Nagasaki-ken","","54",""
"1997","Kumamoto-ken","","75",""
"1997","Oita-ken","","56",""
"1997","Miyazaki-ken","","38",""
"1997","Kagoshima-ken","","69",""
"1997","Okinawa-ken","","33",""
"1996","All Japan","","2,456",""
"1996","Hokkaido","","129",""
"1996","Aomori-ken","","30",""
"1996","Iwate-ken","","22",""
"1996","Miyagi-ken","","37",""
"1996","Akita-ken","","22",""
"1996","Yamagata-ken","","9",""
"1996","Fukushima-ken","","53",""
"1996","Ibaraki-ken","","57",""
"1996","Tochigi-ken","","33",""
"1996","Gumma-ken","","32",""
"1996","Saitama-ken","","94",""
"1996","Chiba-ken","","93",""
"1996","Tokyo-to","","170",""
"1996","Kanagawa-ken","","102",""
"1996","Niigata-ken","","16",""
"1996","Toyama-ken","","23",""
"1996","Ishikawa-ken","","39",""
"1996","Fukui-ken","","40",""
"1996","Yamanashi-ken","","16",""
"1996","Nagano-ken","","35",""
"1996","Gifu-ken","","35",""
"1996","Shizuoka-ken","","39",""
"1996","Aichi-ken","","96",""
"1996","Mie-ken","","22",""
"1996","Shiga-ken","","17",""
"1996","Kyoto-fu","","66",""
"1996","Osaka-fu","","121",""
"1996","Hyogo-ken","","88",""
"1996","Nara-ken","","20",""
"1996","Wakayama-ken","","32",""
"1996","Tottori-ken","","9",""
"1996","Shimane-ken","","9",""
"1996","Okayama-ken","","48",""
"1996","Hiroshima-ken","","51",""
"1996","Yamaguchi-ken","","54",""
"1996","Tokushima-ken","","43",""
"1996","Kagawa-ken","","38",""
"1996","Ehime-ken","","35",""
"1996","Kochi-ken","","58",""
"1996","Fukuoka-ken","","154",""
"1996","Saga-ken","","35",""
"1996","Nagasaki-ken","","58",""
"1996","Kumamoto-ken","","76",""
"1996","Oita-ken","","58",""
"1996","Miyazaki-ken","","37",""
"1996","Kagoshima-ken","","72",""
"1996","Okinawa-ken","","33",""
